,168_wt_1 (GSE66893)_l,168_Dhfq_1 (GSE66893)_l,168_wt_2 (GSE66893)_l,168_Dhfq_2 (GSE66893)_l,168_wt_1 (GSE66893)_r,168_wt_2 (GSE66893)_r,168_Dhfq_1 (GSE66893)_r,168_Dhfq_2 (GSE66893)_r,Bs_WT_rep1 (GSE73315),Bs_WT_rep2 (GSE73315),Bs_WT_rep3 (GSE73315),Bs_ylbM_rep1 (GSE73315),Bs_ylbM_rep2 (GSE73315),Bs_ywlC_rep1 (GSE73315),Bs_ywlC_rep2 (GSE73315),BS_KS400_1 (GSE45824),BS_WT_1 (GSE45824),BS_KS696_1 (GSE45824),BS_WT_2 (GSE45824),BS_KS696_2 (GSE45824),BS_WT_3 (GSE45824),BS_KS400_2 (GSE45824),B. subtilis 168 Day 1 (GSE94788),B. subtilis 168 Day 4 (GSE94788),B. subtilis YK240 Day 1 (GSE94788),B. subtilis YK240 Day 4 (GSE94788),B. subtilis YK240 Day 3 (GSE94788),B. subtilis PG479 Day 4 (GSE61757),B. subtilis 168 Day 1 (GSE61757),B. subtilis PG479 Day 5 (GSE61757),B. subtilis 168 Day 4 (GSE61757),B. subtilis PG479 Day 3 (GSE61757),168_wt_1 (GSE66892),168_wt_2 (GSE66892),168_Dhfq_1 (GSE66892),168_Dhfq_2 (GSE66892),168_wt_1 (GSE66891),168_Dhfq_1 (GSE66891),168_wt_2 (GSE66891),168_Dhfq_2 (GSE66891)
BSU40060,12.36,12.571,13.110999999999999,8.794,9.1644,9.352,9.6424,9.4419,8.4022,8.955,9.6703,10.7154,10.8165,10.5212,11.1708,13.75951184,13.42737411,13.09266654,13.28227716,13.13729424,13.38866081,13.81229726,13.31639908,13.33191918,12.08437213,14.22226418,12.70319943,13.13745491,13.31639908,14.111524,13.33191918,14.27609024,9.1644,9.352,9.6424,9.4419,12.36,12.571,13.110999999999999,8.794
BSU40070,12.815,13.045,13.225,9.529,9.3872,9.4669,9.7768,9.5276,8.228,8.9926,9.0742,10.9212,10.8678,10.6775,11.6179,13.43869794,13.27332495,13.23246077,13.33361201,13.16914346,13.19463466,13.76371757,12.96142433,13.17456176,11.818416699999998,14.03442981,12.66263717,13.14569376,12.96142433,13.88179643,13.17456176,14.03028571,9.3872,9.4669,9.7768,9.5276,12.815,13.045,13.225,9.529
BSU40080,13.883,13.907,14.056,13.124,9.7872,9.6771,10.0451,9.8139,12.9365,13.0961,13.1219,13.2101,13.1852,11.5906,12.182,14.4361264,14.58297113,14.40197502,14.55673646,14.467146900000001,14.58012268,14.51546043,14.55069905,14.7712481,14.02416201,14.72573156,14.22140562,14.52135774,14.55069905,14.79164104,14.7712481,14.89328759,9.7872,9.6771,10.0451,9.8139,13.883,13.907,14.056,13.124
BSU40090,15.019,15.124,15.425,15.605,16.453,16.4451,16.4264,16.4451,16.3431,16.2303,16.3624,16.027,16.1269,16.4336,16.3695,16.14578234,15.62787276,16.13591448,16.0638815,16.03445651,15.73724561,15.95618114,15.97955088,15.93953888,15.935685999999999,16.03807181,15.90634894,16.43520279,15.97955088,15.935685999999999,15.93953888,16.26722319,16.453,16.4451,16.4264,16.4451,15.019,15.124,15.425,15.605
BSU40100,14.562999999999999,14.493,14.600999999999999,14.827,16.4451,16.453,16.465,16.465,16.1412,15.7952,16.3105,15.8149,15.9328,16.4478,16.0188,15.9556335,15.9404818,16.16156669,15.97391004,16.28642353,15.90692798,16.05323454,15.80605708,15.73602515,15.86742201,15.75780177,15.811260199999998,16.19402245,15.80605708,15.72446831,15.73602515,15.78950985,16.4451,16.453,16.465,16.465,14.562999999999999,14.493,14.600999999999999,14.827
BSU40110,10.772,11.280999999999999,11.966,10.659,8.5391,8.3097,8.5912,8.3609,9.315,9.9371,9.5697,9.3028,9.3471,11.5798,11.8305,12.68330468,12.23908952,13.85618896,12.10855497,13.85834705,12.26235219,12.52544931,12.10394102,13.00165418,12.04010687,13.54345571,12.26342566,14.05616336,12.10394102,12.90644513,13.00165418,13.955225,8.5391,8.3097,8.5912,8.3609,10.772,11.280999999999999,11.966,10.659
BSU40120,10.85,11.472000000000001,12.394,10.772,8.5947,8.6913,8.5551,8.3741,9.2054,10.0693,9.818,9.3306,9.5134,11.5013,11.9186,11.94321971,11.35646335,12.96052198,11.52496425,12.81358369,11.14583841,11.9886144,11.63144969,12.48409254,11.29861248,13.08330235,11.69303009,13.39673009,11.63144969,12.36253242,12.48409254,13.33263561,8.5947,8.6913,8.5551,8.3741,10.85,11.472000000000001,12.394,10.772
BSU40130,10.582,10.779000000000002,10.831,9.293,8.4514,8.6688,8.5134,8.4661,9.3784,10.0611,10.079,9.8291,9.7593,9.7439,10.5626,12.53341284,12.384074499999999,12.3537147,12.24874736,12.43843828,12.346896300000001,12.49638018,11.63608173,12.12499792,11.49165213,12.31179283,11.80680291,11.52823784,11.63608173,12.12963013,12.12499792,12.12608213,8.4514,8.6688,8.5134,8.4661,10.582,10.779000000000002,10.831,9.293
BSU40140,9.449,9.637,10.604000000000001,10.255999999999998,8.5344,8.8394,8.5443,8.6113,11.2923,10.6775,11.0685,10.8862,11.2952,11.2389,11.3119,10.42604517,9.583891758,10.27720643,9.444881832,10.39479436,9.552460993,10.40667512,8.859109013,9.134073404,9.965933375,9.409673239,9.713465549,8.901859685,8.859109013,9.315528785,9.134073404,9.358783047000001,8.5344,8.8394,8.5443,8.6113,9.449,9.637,10.604000000000001,10.255999999999998
BSU40150,9.722999999999999,9.828,10.511,10.224,9.3232,9.2665,9.05,8.9147,11.4753,10.647,10.7454,10.9736,11.2146,11.2286,11.7355,10.43289526,9.121875367000001,10.36775598,9.850246091,10.65657028,9.794353795,10.54259882,10.54010625,10.82118481,11.39606438,11.00153423,11.32900399,10.64983706,10.54010625,11.30583082,10.82118481,11.00681046,9.3232,9.2665,9.05,8.9147,9.722999999999999,9.828,10.511,10.224
BSU40160,9.346,9.371,9.757,9.629,8.773,8.82,8.8169,8.9171,10.033,9.8981,9.607999999999999,10.1319,10.360999999999999,9.589,11.0595,7.9925252979999994,6.742571777,7.6551654010000005,7.170921764,7.2587031820000005,6.674596308,7.503802454,9.349995056000001,9.453219500000001,10.13457608,9.516939,9.979921971,9.495084132999999,9.349995056000001,10.17253501,9.453219500000001,9.638730515,8.773,8.82,8.8169,8.9171,9.346,9.371,9.757,9.629
BSU40170,7.976,8.213,8.565,8.195,7.1916,7.1656,6.9973,7.034,9.3837,8.8573,9.2941,8.9314,9.0363,8.2589,8.8471,6.997908814,6.731150778,6.997908814,6.911333947,6.997908814,6.928747535,7.199585905,6.536008841,7.503995832999999,7.727260911,7.723735421000001,8.129947647,7.371815992999999,6.536008841,8.030610259,7.503995832999999,7.350573364,7.1916,7.1656,6.9973,7.034,7.976,8.213,8.565,8.195
BSU40180,8.211,8.277999999999999,8.917,8.906,11.1523,10.5072,10.5437,9.8187,9.779,9.5866,9.7584,9.4377,9.27,11.0323,10.0665,12.11724812,10.99223765,11.92190703,10.8579225,11.78370629,10.32555223,12.25922055,9.574582904,9.708178879,10.66360442,9.993556471,10.09432554,9.858251182,9.574582904,10.64129987,9.708178879,9.864730394,11.1523,10.5072,10.5437,9.8187,8.211,8.277999999999999,8.917,8.906
BSU40190,11.442,11.545,12.194,11.559000000000001,10.2676,10.3877,10.7182,10.6644,12.2936,11.7123,12.1789,11.7167,11.6941,11.334000000000001,11.6859,13.33977572,13.06657202,13.89757718,13.07522989,13.88499437,13.20817786,13.33417059,11.91874227,11.94603732,12.25064635,12.49140398,12.24173517,12.78863485,11.91874227,12.14045317,11.94603732,12.58775367,10.2676,10.3877,10.7182,10.6644,11.442,11.545,12.194,11.559000000000001
BSU40200,11.572000000000001,11.918,13.575,13.509,8.0886,8.0872,7.9045,7.7931,13.0296,12.7096,12.8923,13.1725,12.9557,13.554,13.2378,10.20495491,9.953271994,10.24078459,10.20495491,10.35996613,9.997418611,10.20495491,10.03235944,10.13285532,10.2100088,10.26028497,10.3106565,10.62456189,10.03235944,10.23429932,10.13285532,10.69168,8.0886,8.0872,7.9045,7.7931,11.572000000000001,11.918,13.575,13.509
BSU40210,11.008,11.380999999999998,12.884,12.779000000000002,8.4668,8.4804,8.2205,8.4338,12.7275,12.4132,12.3114,12.8256,12.5069,13.3229,12.9628,10.11718916,9.870115154,10.11824625,9.830909109,10.40405286,10.06034388,10.103909800000002,9.827665421,10.28141667,9.938786136000001,10.31655803,10.27522262,10.94203824,9.827665421,10.37819854,10.28141667,10.67745044,8.4668,8.4804,8.2205,8.4338,11.008,11.380999999999998,12.884,12.779000000000002
BSU40220,10.966,11.338,12.872,12.772,8.9274,9.1313,8.7504,8.6847,12.6298,12.3681,12.3174,12.595,12.2267,12.8749,12.7244,11.1098991,10.49560006,11.13255026,10.96597375,11.31057166,10.65773873,11.20051983,10.5731102,10.70926127,10.62617009,10.996347300000002,10.69707691,11.47694778,10.5731102,11.14686785,10.70926127,11.32550772,8.9274,9.1313,8.7504,8.6847,10.966,11.338,12.872,12.772
BSU40230,10.874,10.959000000000001,12.354000000000001,12.158,8.7983,9.1797,8.3673,8.7121,11.960999999999999,11.9358,11.9682,11.7687,11.4291,11.377,11.6329,12.55806685,12.23074652,12.62991766,12.05369872,12.76555533,12.13013967,12.46215014,12.00372816,12.23572112,12.04094358,12.56718234,12.17972197,12.91299333,12.00372816,12.70476205,12.23572112,12.89043542,8.7983,9.1797,8.3673,8.7121,10.874,10.959000000000001,12.354000000000001,12.158
BSU40240,7.978,8.238999999999999,7.942,7.397,8.9876,8.8463,8.8431,8.9976,8.5315,9.6748,8.8847,8.613999999999999,8.6403,8.1247,8.4546,9.727556191,9.896278538999999,9.910317459,9.799242699,10.03287217,9.900111512,9.823486962999999,8.153167709,8.545017026,8.336466956,8.655097762,8.483388136,8.220141628,8.153167709,8.578585141,8.545017026,8.321486177,8.9876,8.8463,8.8431,8.9976,7.978,8.238999999999999,7.942,7.397
BSU40250,7.8260000000000005,7.765,7.853,7.751,9.094,9.115,9.9222,9.6313,8.2941,8.4408,9.3503,8.6229,8.406,10.7025,9.7091,9.310758737999999,9.715757149,9.475289109,9.518009652,9.510353728,9.769461768,9.401839404,9.03515233,8.981057206000001,8.767083559,9.149390897,8.898168615,9.79597557,9.03515233,9.405170436,8.981057206000001,9.758181823,9.094,9.115,9.9222,9.6313,7.8260000000000005,7.765,7.853,7.751
BSU40260,7.316,7.388,7.5,7.297999999999999,8.3919,8.3267,8.0872,8.0269,7.7963,7.3453,7.8351,7.9091,7.685,8.5935,8.2954,8.010733401,8.317093397,8.143846072999999,8.450242944,8.184299506,8.218962287,8.10391052,5.222099934,5.225056213,5.12060846,5.377807937999999,5.356191417,5.627202061,5.222099934,5.630647317999999,5.225056213,5.738368371,8.3919,8.3267,8.0872,8.0269,7.316,7.388,7.5,7.297999999999999
BSU40270,6.87,6.794,6.848,6.666,8.9537,9.1902,8.4523,8.2571,7.412999999999999,7.5418,7.2628,7.1266,6.7927,7.3605,6.8461,7.803778707,8.03868512,7.8209019710000005,8.155044271,8.06224322,7.969357215,8.011919527,5.826749417,6.318419551,6.049120616000001,6.313543004,6.212402722,6.03008714,5.826749417,6.573515751,6.318419551,5.858546581000001,8.9537,9.1902,8.4523,8.2571,6.87,6.794,6.848,6.666
